"ID","Height_Ext","Length_Ext","Width_Ext","Thick","Volume_Intermal","Price_RRC"
"2.2_3.76_5.26_80","2.2","3.76","5.26","80","37.45","464330"
"2.2_3.76_5.4_80","2.2","3.76","5.4","80","38.48","473405"
"2.2_3.76_5.56_80","2.2","3.76","5.56","80","39.66","483777"
"2.2_3.76_5.7_80","2.2","3.76","5.7","80","40.69","498763"
"2.2_3.76_5.86_80","2.2","3.76","5.86","80","41.86","509135"
"2.2_3.76_6_80","2.2","3.76","6","80","42.89","518210"
"2.2_3.76_6.16_80","2.2","3.76","6.16","80","44.06","528581"
"2.2_3.76_6.3_80","2.2","3.76","6.3","80","45.09","537656"
"2.2_3.76_6.46_80","2.2","3.76","6.46","80","46.27","548028"
"2.2_3.76_6.6_80","2.2","3.76","6.6","80","47.3","557103"
"2.2_3.76_6.76_80","2.2","3.76","6.76","80","48.47","567474"
"2.2_3.76_6.9_80","2.2","3.76","6.9","80","49.5","576549"
"2.2_3.76_7.06_80","2.2","3.76","7.06","80","50.67","586921"
"2.2_3.76_7.2_80","2.2","3.76","7.2","80","51.7","595996"
"2.2_3.76_7.36_80","2.2","3.76","7.36","80","52.88","606367"
"2.2_3.76_7.5_80","2.2","3.76","7.5","80","53.9","615443"
"2.2_3.9_3.9_80","2.2","3.9","3.9","80","28.53","385464"
"2.2_3.9_4.06_80","2.2","3.9","4.06","80","29.76","396083"
"2.2_3.9_4.2_80","2.2","3.9","4.2","80","30.82","405374"
"2.2_3.9_4.36_80","2.2","3.9","4.36","80","32.04","415993"
"2.2_3.9_4.5_80","2.2","3.9","4.5","80","33.11","425285"
"2.2_3.9_4.66_80","2.2","3.9","4.66","80","34.33","435904"
"2.2_3.9_4.8_80","2.2","3.9","4.8","80","35.4","445195"
"2.2_3.9_4.96_80","2.2","3.9","4.96","80","36.62","455814"
"2.2_3.9_5.1_80","2.2","3.9","5.1","80","37.69","465106"
"2.2_3.9_5.26_80","2.2","3.9","5.26","80","38.91","475725"
"2.2_3.9_5.4_80","2.2","3.9","5.4","80","39.98","485016"
"2.2_3.9_5.56_80","2.2","3.9","5.56","80","41.2","501547"
"2.2_3.9_5.7_80","2.2","3.9","5.7","80","42.27","510838"
"2.2_3.9_5.86_80","2.2","3.9","5.86","80","43.49","521457"
"2.2_3.9_6_80","2.2","3.9","6","80","44.56","530749"
"2.2_3.9_6.16_80","2.2","3.9","6.16","80","45.78","541368"
"2.2_3.9_6.3_80","2.2","3.9","6.3","80","46.85","550659"
"2.2_3.9_6.46_80","2.2","3.9","6.46","80","48.07","561278"
"2.2_3.9_6.6_80","2.2","3.9","6.6","80","49.13","570570"
"2.2_3.9_6.76_80","2.2","3.9","6.76","80","50.36","581188"
"2.2_3.9_6.9_80","2.2","3.9","6.9","80","51.42","590480"
"2.2_3.9_7.06_80","2.2","3.9","7.06","80","52.64","601099"
"2.2_3.9_7.2_80","2.2","3.9","7.2","80","53.71","610390"
"2.2_3.9_7.36_80","2.2","3.9","7.36","80","54.93","621009"
"2.2_3.9_7.5_80","2.2","3.9","7.5","80","56","630301"
"2.2_3.9_7.66_80","2.2","3.9","7.66","80","57.22","636938"
"2.2_4.06_4.06_80","2.2","4.06","4.06","80","31.03","406985"
"2.2_4.06_4.2_80","2.2","4.06","4.2","80","32.14","416524"
"2.2_4.06_4.36_80","2.2","4.06","4.36","80","33.42","427425"
"2.2_4.06_4.5_80","2.2","4.06","4.5","80","34.53","436964"
"2.2_4.06_4.66_80","2.2","4.06","4.66","80","35.8","447866"
"2.2_4.06_4.8_80","2.2","4.06","4.8","80","36.92","457405"
"2.2_4.06_4.96_80","2.2","4.06","4.96","80","38.19","468306"
"2.2_4.06_5.1_80","2.2","4.06","5.1","80","39.3","477845"
